"gene_id","transcript_length","gene_length","cds_count"
"AL1G11570",1083,1841,6
"AL1G11580",651,1176,3
"AL1G11590",1500,2309,3
"AL1G11600",1455,3113,11
"AL4G45870",73,565,2
"AL1G11610",894,1949,7
"AL1G11620",1359,2170,1
"AL1G11630",1005,2200,11
"AL1G11640",1083,2378,11
"AL1G11650",1236,2587,5
"AL1G11660",834,1507,6
"AL1G11670",660,1184,2
"AL1G11680",841,1881,4
"AL1G11690",180,1731,1
"AL1G11700",210,515,1
"AL1G11710",258,1415,1
"AL1G11720",1575,1981,2
"AL1G11730",696,2151,3
"AL1G11740",1578,2342,2
"AL8G19300",2714,3179,3
"AL1G11750",990,2768,3
"AL1G11760",381,476,1
"AL1G11770",864,2148,7
"AL1G11782",1473,1473,1
"AL1G11784",571,893,5
"AL1G11790",372,494,1
"AL1G11800",1476,2725,6
"AL1G11810",672,1440,7
"AL1G11820",657,4572,7
"AL1G11840",1098,1858,2
"AL1G11850",864,1190,2
"AL1G11860",3799,5587,11
"AL1G11870",3861,4852,10
"AL1G11880",729,805,1
"AL1G11890",897,2163,9
"AL1G11900",837,987,1
"AL1G11930",666,2808,7
"AL1G11940",582,1423,3
"AL1G11960",1134,2332,7
"AL1G11970",1170,3262,2
"AL1G11980",2307,3658,5
"AL5G31140",72,336,1
"AL1G11990",1089,1319,3
"AL1G12000",2127,2946,5
"AL1G12010",372,1300,5
"AL1G12030",483,771,2
"AL1G12040",589,611,1
"AL1G12050",231,372,1
"AL1G12060",1602,2958,10
"AL1G12070",753,1257,2
"AL1G12080",468,735,1
"AL1G12090",1086,2446,1
"AL1G12100",231,1060,1
"AL1G12110",3552,4075,3
"AL1G12120",993,2637,10
"AL1G12130",663,1812,4
"AL1G12150",426,1588,3
"AL1G12160",1269,1835,4
"AL1G12170",1506,2979,8
"AL1G12180",1589,2303,3
"AL1G12190",450,645,1
"AL1G12200",504,860,1
"AL1G12210",294,679,2
"AL1G12220",299,663,2
"AL1G12230",1029,3161,3
"AL1G12240",957,3358,11
"AL1G12260",1470,2618,13
"AL1G12270",1005,2095,6
"AL1G12280",582,1245,3
"AL1G12290",653,1900,6
"AL1G12300",810,1776,6
"AL1G12310",315,356,1
"AL1G12320",166,2886,1
"AL1G12330",3732,6936,27
"AL1G12340",362,630,1
"AL1G12350",1002,2723,8
"AL1G12360",630,1138,3
"AL1G12370",627,1095,3
"AL1G12380",516,641,2
"AL1G12390",738,1316,4
"AL1G12400",1413,3086,14
"AL1G12410",1167,3042,9
"AL1G12430",2220,4427,17
"AL1G12440",3432,5877,9
"AL1G12450",2844,4750,13
"AL1G12460",1905,3201,5
"AL1G12470",309,596,1
"AL1G12480",696,2599,9
"AL1G12490",921,2747,6
"AL1G12500",1800,2591,4
"AL1G12510",795,1750,7
"AL1G12520",10734,14714,20
"AL1G12530",741,1543,4
"AL1G12540",5211,6527,3
"AL1G12550",2220,4656,16
"AL1G12560",2382,2556,1
"AL1G12570",486,899,3
"AL1G12580",1281,2740,10
"AL1G12590",437,1115,2
"AL1G12600",618,959,1
"AL1G12610",1254,1912,2
"AL1G12620",525,2340,6
"AL1G12630",NA,589,0
"AL1G12640",600,765,1
"AL1G12650",2772,6914,11
"AL1G12660",744,1012,1
"AL1G12670",798,1821,7
"AL1G12680",2277,5364,12
"AL1G12690",709,5386,3
"AL1G12700",180,839,3
"AL1G12710",351,1542,4
"AL1G12720",159,814,1
"AL1G12730",1302,1520,1
"AL1G12740",738,1922,7
"AL1G12750",825,2819,9
"AL2G35450",261,1292,2
"AL1G12760",1500,3461,13
"AL1G12780",1443,4232,10
"AL1G12800",1722,3639,8
"AL1G12810",2007,2324,1
"AL1G12820",2527,3119,1
"AL1G12830",642,1110,2
"AL1G12840",282,1404,3
"AL1G12850",1200,1744,5
"AL1G12860",1350,2607,12
"AL1G12870",1359,1734,1
"AL1G12880",969,1769,7
"AL1G12890",2502,3547,2
"AL1G12900",3060,4748,8
"AL1G12910",2877,5285,8
"AL1G12920",1389,1516,1
"AL1G12930",463,1610,6
"AL1G12940",1191,1701,1
"AL1G12950",2457,5318,22
"AL1G12960",1281,3583,9
"AL1G12970",786,1737,2
"AL1G12980",1164,2234,8
"AL1G13550",648,1348,2
"AL1G13000",1281,1716,2
"AL1G13010",1179,1339,1
"AL1G13030",1344,2322,4
"AL1G13040",2421,2969,3
"AL1G13050",1827,2052,1
"AL1G13060",852,2325,12
"AL1G13070",2199,3012,2
"AL1G13090",1383,3391,5
"AL1G13100",525,857,1
"AL1G13110",927,2229,5
"AL1G13120",798,2475,9
"AL1G13130",1206,1759,5
"AL1G13150",477,1049,2
"AL1G13160",540,1457,1
"AL1G13170",216,1180,1
"AL1G13180",1146,2469,8
"AL1G13190",495,1256,3
"AL1G13200",623,845,3
"AL1G13230",740,1036,2
"AL1G13240",622,1125,2
"AL1G13250",702,1292,2
"AL1G13260",666,1249,4
"AL1G13270",513,866,1
"AL1G13280",2247,3539,7
"AL1G13290",234,274,1
"AL1G13300",2628,3280,7
"AL1G13310",1269,2343,10
"AL1G13320",1401,3151,10
"AL1G13330",2316,4334,18
"AL1G13350",1164,1596,1
"AL1G13360",633,779,1
"AL1G13370",435,1042,2
"AL1G13380",666,850,1
"AL1G13390",3039,4947,13
"AL1G13400",1533,2554,3
"AL1G13410",314,743,4
"AL1G13430",453,692,1
"AL1G13440",867,2308,5
"AL1G13450",744,894,1
"AL1G13460",1368,2471,4
"AL1G13470",1356,2002,4
"AL1G13480",834,2008,3
"AL1G13490",921,2515,6
"AL2G11480",133,482,1
"AL5G28770",NA,206,0
"AL1G13500",163,507,3
"AL1G13510",2022,4223,12
"AL1G13520",1716,2801,12
"AL1G13530",941,1674,9
"AL1G13540",1323,1661,2
"AL1G12990",1068,1271,1
"AL1G13560",633,2370,11
"AL1G13570",1620,4263,12
"AL1G13580",828,1142,1
"AL1G13592",1248,2796,9
"AL1G13594",513,804,4
"AL1G13600",2284,3336,3
"AL1G13610",489,1245,1
"AL1G13620",1626,5032,14
"AL1G13630",2109,3652,13
"AL1G13640",1305,1885,4
"AL1G13650",816,1461,3
"AL1G13660",2214,3956,11
"AL1G13670",285,580,1
"AL1G13680",2304,5465,12
"AL1G13690",1719,2481,2
"AL1G13700",795,1546,4
"AL1G13710",2337,3052,1
"AL1G13720",4545,6351,11
"AL1G13730",1083,2124,8
"AL1G13740",2313,5005,14
"AL1G13750",1770,1887,1
"AL1G13760",4503,10567,39
"AL1G13770",1398,3063,8
"AL1G13780",1266,1564,2
"AL1G13790",990,2193,8
"AL1G13800",2196,4674,18
"AL1G13810",3348,5428,11
"AL1G13820",1575,3026,2
"AL1G13830",978,2642,8
"AL1G13840",573,1264,3
"AL1G13850",402,2457,4
"AL1G13860",534,999,1
"AL1G13870",459,1396,4
"AL1G13880",1440,3292,8
"AL1G13890",468,817,3
"AL1G13900",3192,6127,12
"AL1G13910",1959,2820,2
"AL1G13930",303,1454,1
"AL1G13940",480,1923,5
"AL1G13950",723,949,2
"AL1G13960",1149,1440,1
"AL1G13970",405,640,1
"AL1G13980",1041,1734,3
"AL1G13990",393,393,1
"AL1G14000",3030,4058,8
"AL1G14010",1839,2903,4
"AL1G14020",999,2580,7
"AL1G14030",906,2644,6
"AL1G14040",84,173,1
"AL1G14050",NA,143,0
"AL1G14070",1872,3357,7
"AL1G14080",1407,3695,14
"AL1G14090",342,788,2
"AL1G14100",660,1057,3
"AL1G14110",414,3541,2
"AL1G14120",3102,3750,6
"AL1G14130",423,1757,3
"AL1G14140",1233,2274,2
"AL4G32050",103,365,2
"AL5G18510",88,214,2
"AL1G14150",1161,2904,5
"AL1G14160",1569,4607,18
"AL1G14170",924,2444,4
"AL1G14180",939,1761,5
"AL1G14190",1794,1986,1
"AL1G14200",2005,3839,12
"AL1G14210",564,1701,6
"AL1G14220",720,1731,5
"AL1G14230",456,1384,4
"AL1G14240",561,1031,3
"AL1G14250",1629,2153,2
"AL1G14260",4058,7133,11
"AL1G14270",1187,2962,9
"AL1G14280",5100,10697,42
"AL1G14290",1314,2114,3
"AL1G14300",1386,4383,19
"AL1G14310",432,1551,3
"AL1G14320",456,706,1
"AL1G14330",708,1431,1
"AL1G14340",148,310,1
"AL1G14350",387,405,1
"AL1G14360",2997,4296,7
"AL1G14370",618,947,1
"AL1G14380",381,748,3
"AL325U10020",729,940,3
"AL1G14390",1299,5014,6
"AL1G14400",987,2205,5
"AL1G14410",3138,4616,8
"AL1G14420",2016,2823,1
"AL1G14430",1341,2915,14
"AL1G14450",2835,6224,22
"AL1G14460",660,1914,5
"AL1G14470",663,1785,5
"AL1G14480",918,1469,4
"AL1G14490",168,731,2
"AL1G14500",1992,2971,2
"AL1G14510",1899,3459,8
"AL1G14520",588,853,1
"AL1G14530",3006,5444,13
"AL1G14540",302,333,1
"AL1G14550",1347,3101,9
"AL1G14560",1998,2490,2
"AL1G14570",1242,3617,12
"AL1G14580",2784,3817,2
"AL1G14590",1152,2564,7
"AL1G14600",1347,3464,6
"AL612U10010",NA,75,0
"AL1G14610",1512,2148,3
"AL1G14620",1344,3971,13
"AL1G14630",1560,3288,9
"AL1G14640",3189,4696,11
"AL1G14650",981,2565,7
"AL1G14660",822,1619,2
"AL1G14670",1179,2145,5
"AL1G14680",1644,4329,11
"AL1G14690",954,2910,11
"AL1G14700",1506,2644,6
"AL1G14710",1317,2515,9
"AL1G14720",582,2127,5
"AL1G14730",1284,2611,7
"AL1G14740",648,4292,5
"AL1G14750",650,1442,2
"AL1G14760",986,1580,4
"AL1G14770",1965,2180,1
"AL1G14780",1566,3405,12
"AL1G14790",498,1044,3
"AL1G14800",1266,2273,4
"AL1G14810",762,1804,5
"AL1G14820",574,2400,2
"AL1G14830",546,1686,3
"AL1G14840",1455,2999,5
"AL1G14850",1190,2550,7
"AL1G14860",2134,2648,3
"AL4G19794",240,343,2
"AL1G14870",1020,1271,1
"AL1G14880",2529,4718,16
"AL6G41230",222,886,2
"AL1G14890",117,597,2
"AL1G14900",1317,1500,1
"AL1G14910",2429,2761,1
"AL1G14920",1473,3426,8
"AL1G14930",1224,3283,11
"AL1G14940",1623,3703,14
"AL1G14950",754,1375,3
"AL1G14960",2841,3836,6
"AL1G14970",276,1052,3
"AL1G14990",75,289,1
"AL1G15000",2166,6121,10
"AL1G15020",973,1310,4
"AL1G15010",973,1309,4
"AL1G15030",993,1598,4
"AL1G15040",930,1604,4
"AL1G15050",1116,2718,9
"AL1G15060",1353,1951,4
"AL1G15070",1113,1423,4
"AL1G15080",558,958,3
"AL1G15090",387,970,2
"AL1G15100",1068,2790,3
"AL1G15110",1113,1968,5
"AL1G15120",2544,5175,7
"AL1G15130",405,656,1
"AL1G15140",219,728,3
"AL1G15150",1296,3335,14
"AL1G15160",1419,1949,3
"AL1G15170",108,1558,1
"AL1G15180",1251,2780,8
"AL1G15190",1254,3153,7
"AL1G15210",3390,5813,8
"AL1G15220",600,927,3
"AL1G15240",464,1232,3
"AL1G15250",693,1017,1
"AL1G15260",1420,2511,4
"AL1G15270",810,1898,6
"AL1G15280",1116,1640,3
"AL4G39840",199,1137,1
"AL1G15290",510,1293,5
"AL1G15300",3060,3919,4
"AL1G15310",763,1580,4
"AL1G15320",1854,4377,10
"AL1G15330",4281,4801,3
"AL1G15340",1728,4150,13
"AL1G15350",726,1315,3
"AL1G15360",2352,4914,12
"AL1G15380",1380,1553,1
"AL1G15390",1104,1564,3
"AL1G15400",1107,1768,3
"AL1G15410",445,812,1
"AL1G15430",1425,1678,1
"AL1G15440",5769,11348,42
"AL1G15450",252,475,1
"AL1G15460",1131,2602,6
"AL1G15470",2601,3290,4
"AL1G15490",1737,2521,2
"AL1G15500",1512,1983,1
"AL1G15510",1440,2119,8
"AL1G15520",882,1389,1
"AL1G15530",969,2538,9
"AL1G15540",3411,5248,11
"AL1G15550",2865,4393,8
"AL1G15560",1185,2080,4
"AL1G15570",2226,3704,1
"AL1G15580",1359,1714,2
"AL1G15590",1361,1685,2
"AL1G15600",1215,2594,4
"AL1G15610",2562,3608,11
"AL1G15620",450,2692,5
"AL1G15630",468,1620,4
"AL1G15640",450,1301,3
"AL1G15650",254,805,4
"AL1G15660",1503,2344,1
"AL1G15670",537,781,2
"AL1G15680",133,3905,1
"AL1G15700",2178,4518,14
"AL1G15710",375,1469,4
"AL1G15720",1293,1568,1
"AL1G15730",1080,2949,6
"AL1G15740",657,1307,2
"AL1G15750",1611,4341,13
"AL1G15760",3243,7651,24
"AL1G15770",384,521,2
"AL1G15780",1455,3596,10
"AL1G15790",966,2256,3
"AL1G15800",834,2334,2
"AL1G15810",573,1726,2
"AL1G15820",1521,2915,14
"AL1G15830",1674,4822,15
"AL1G15840",1365,1575,1
"AL1G15860",1155,3013,11
"AL1G15870",3627,6845,10
"AL1G15880",765,970,1
"AL1G15890",992,1285,1
"AL1G15900",1845,3539,11
"AL1G15910",2967,7834,19
"AL1G15920",603,1354,2
"AL1G15940",453,830,1
"AL1G15950",1305,1567,1
"AL1G15960",240,1515,2
"AL1G15970",1038,1657,4
"AL1G15980",1002,1477,4
"AL1G15990",744,1485,3
"AL1G16000",942,2054,1
"AL1G16010",642,1957,7
"AL1G16020",1293,2773,4
"AL1G16030",876,2401,5
"AL1G16040",900,2286,5
"AL1G16050",900,1538,5
"AL1G16060",1308,1966,5
"AL1G16070",996,3094,8
"AL1G16080",1677,2245,1
"AL1G16100",3987,6133,12
"AL1G16110",118,1153,2
"AL1G16120",717,877,1
"AL1G16130",1266,1981,3
"AL1G16140",750,1788,3
"AL1G16170",1206,1953,2
"AL1G16180",618,2187,5
"AL1G16190",1152,2065,3
"AL1G16200",2964,4923,10
"AL1G16210",251,291,1
"AL1G16220",2304,3803,4
"AL1G16230",1134,2025,7
"AL1G16240",1032,2253,4
"AL1G16250",183,1254,2
"AL1G16260",1032,1491,2
"AL1G16270",602,1397,5
"AL1G16280",1275,1962,1
"AL1G16290",618,817,1
"AL1G16310",2028,3908,13
"AL1G16320",2028,3699,13
"AL1G16330",603,1074,3
"AL1G16340",453,852,3
"AL1G16350",420,626,1
"AL1G16360",900,1493,5
"AL1G16370",900,1508,5
"AL1G16380",246,1959,2
"AL1G16390",741,961,1
"AL1G16400",1233,3955,12
"AL1G16410",651,2050,2
"AL1G16420",2556,3833,3
"AL1G16430",660,961,1
"AL1G16440",2058,2997,4
"AL1G16450",1173,1860,1
"AL1G16460",1068,1216,1
"AL1G16470",855,2057,7
"AL1G16480",1244,4261,11
"AL1G16490",261,495,1
"AL1G16510",5814,10838,41
"AL1G16520",420,1116,1
"AL1G16530",171,1483,3
"AL1G16540",816,1564,4
"AL1G16550",1743,2303,2
"AL1G16560",969,1308,1
"AL1G16570",387,692,2
"AL1G16580",1158,3547,15
"AL1G16590",1800,4242,12
"AL1G16600",1338,1679,2
"AL1G16610",1503,1620,1
"AL1G16620",2751,8692,20
"AL1G16630",776,1167,3
"AL1G16640",1109,1909,3
"AL1G16650",1110,1818,3
"AL1G16660",1110,1517,3
"AL1G16670",1461,2745,7
"AL1G16680",4437,6724,14
"AL1G16690",792,1504,4
"AL1G16700",1134,2725,10
"AL1G16710",1086,2726,7
"AL1G16720",2973,4503,2
"AL1G16730",3546,6731,17
"AL1G16740",1473,2876,5
"AL1G16750",2169,2782,1
"AL1G16760",1728,2706,9
"AL1G16770",834,1183,2
"AL1G16780",1127,3099,5
"AL1G16790",1788,3673,9
"AL1G16800",615,2206,7
"AL1G16810",1413,2214,2
"AL1G16820",1773,3777,13
"AL1G16840",300,526,1
"AL1G16850",2862,5695,20
"AL1G16860",984,1630,4
"AL1G16870",115,649,2
"AL1G16890",1095,2588,6
"AL1G16910",1074,3311,7
"AL1G16920",3075,5874,19
"AL1G16930",1164,2789,5
"AL1G16940",891,1161,1
"AL1G16950",516,828,2
"AL1G16960",522,853,1
"AL1G16990",3042,5534,15
"AL1G17000",396,1833,3
"AL1G17010",2490,3005,3
"AL1G17020",507,860,1
"AL1G17030",1044,1878,3
"AL1G17040",1215,1428,1
"AL1G17060",521,601,1
"AL1G17070",1179,2556,9
"AL1G17080",447,667,2
"AL1G17090",726,1659,5
"AL1G17100",260,1234,4
"AL1G17110",108,710,2
"AL1G16970",260,1311,4
"AL1G17140",981,2337,2
"AL1G17150",1116,2161,7
"AL1G17160",585,1020,3
"AL1G17180",751,2042,5
"AL1G17190",339,1265,4
"AL1G17200",807,2374,5
"AL1G17210",597,782,1
"AL1G17230",2232,6047,23
"AL1G17240",1176,1948,5
"AL1G17250",477,2194,1
"AL1G17260",437,697,1
"AL1G17270",2133,3665,5
"AL1G17290",333,1119,1
"AL1G17300",213,638,2
"AL3G12660",NA,225,0
"AL1G17310",2682,8931,4
"AL638U10010",338,735,3
"AL1G17330",1530,2753,8
"AL1G17340",2934,3848,3
"AL1G17350",789,1682,5
"AL1G17360",1527,2426,7
"AL1G17370",546,1254,3
"AL1G17380",937,1241,1
"AL1G17390",1437,1554,1
"AL1G17400",1440,1641,1
"AL1G17410",1431,1581,1
"AL1G17420",1738,3936,16
"AL1G17430",1644,3339,2
"AL1G17440",1119,2568,9
"AL1G17450",387,838,1
"AL1G17460",1050,2167,1
"AL1G17470",849,1347,2
"AL1G17480",2250,2820,3
"AL1G17490",1497,2019,4
"AL1G17500",387,1330,2
"AL1G17510",1446,2435,4
"AL1G17520",792,1460,4
"AL1G17530",2343,4261,10
"AL1G17540",3159,4183,8
"AL1G17550",3231,5152,9
"AL1G61750",459,710,2
"AL1G17560",645,1507,2
"AL1G17570",801,2871,7
"AL8G27300",558,1068,3
"AL1G17580",1311,1737,3
"AL1G17590",801,1693,5
"AL1G17600",649,1583,5
"AL1G17610",969,1155,1
"AL1G17620",1128,3130,11
"AL1G17630",377,552,1
"AL1G17640",420,566,1
"AL1G17650",1128,3017,11
"AL1G17670",369,700,2
"AL1G17680",252,690,1
"AL1G17690",2442,4088,8
"AL1G17700",2121,2588,1
"AL1G17710",2271,2838,1
"AL6G21710",463,1026,2
"AL1G17720",1887,3434,9
"AL1G17730",2076,3614,12
"AL1G17740",2616,4380,13
"AL1G17750",1233,2457,6
"AL1G17770",1611,1933,2
"AL1G17780",138,724,2
"AL1G17790",138,627,2
"AL1G17800",1422,2062,6
"AL1G17810",1650,2367,3
"AL1G17820",1992,2640,4
"AL1G17830",1011,2057,2
"AL1G17840",3042,6866,24
"AL1G17860",312,784,1
"AL1G18090",3186,4447,8
"AL1G18080",357,594,1
"AL1G18070",450,795,1
"AL1G18060",393,1374,3
"AL1G18050",141,455,1
"AL1G18030",1071,1888,3
"AL1G18020",288,328,1
"AL1G18000",294,436,1
"AL1G17990",291,331,1
"AL1G17980",297,337,1
"AL1G17970",789,2311,7
"AL1G17960",1380,1526,1
"AL1G17950",1229,1341,1
"AL1G17940",1842,2137,1
"AL1G17930",1437,1706,1
"AL1G17920",1629,2342,2
"AL1G17910",1848,4604,14
"AL1G17900",777,1781,5
"AL1G17890",513,1368,5
"AL1G17880",456,1199,3
"AL1G17870",3171,4502,8
"AL1G18100",312,685,1
"AL1G17850",414,849,3
"AL5G12330",1641,1720,2
"AL1G18110",432,1545,3
"AL1G18120",936,2361,8
"AL1G18130",1626,2095,4
"AL1G18140",420,766,2
"AL1G18150",1269,2301,5
"AL1G18160",1092,1942,6
"AL1G18170",750,2256,7
"AL1G18180",576,1161,2
"AL1G18190",327,1833,4
"AL1G18200",3288,8790,28
"AL1G18230",1350,2565,2
"AL1G18210",1350,1838,2
"AL1G18260",1350,2427,2
"AL1G18280",471,1284,3
"AL1G18290",441,1878,4
"AL1G18300",2073,3251,7
"AL1G18310",624,1725,4
"AL1G18320",435,655,1
"AL1G18330",2418,6368,19
"AL1G18340",876,1917,2
"AL1G18350",915,2023,2
"AL1G18360",1503,4061,12
"AL1G18370",336,877,1
"AL1G18380",1149,3286,14
"AL6G23420",157,817,1
"AL1G18390",1881,2274,2
"AL1G18400",1926,2567,2
"AL1G18410",6258,9537,15
"AL1G18420",834,1769,7
"AL1G18430",2226,2456,1
"AL1G18440",828,1475,7
"AL1G18450",1593,1994,3
"AL1G18460",1575,2003,3
"AL1G18470",708,3361,8
"AL1G18500",951,2823,10
"AL1G18510",2382,5660,17
"AL1G18520",2436,2660,4
"AL1G18530",2457,3097,4
"AL1G18550",2424,3070,4
"AL1G18560",672,976,1
"AL1G18570",102,485,2
"AL1G18580",615,800,1
"AL1G18590",336,700,1
"AL1G18600",2937,6250,19
"AL1G18610",1170,2730,9
"AL1G18620",1479,3365,10
"AL1G18630",825,2229,7
"AL1G18640",1762,4673,8
"AL1G18660",6483,16794,49
"AL1G18670",1215,2174,8
"AL1G18680",1182,1730,1
"AL1G18690",993,3717,2
"AL1G18700",1392,3146,5
"AL1G18710",486,649,1
"AL1G18720",936,1515,4
"AL1G18730",954,1226,1
"AL1G18740",1452,6433,12
"AL1G18750",1080,1832,4
"AL1G18760",1767,3311,7
"AL1G18770",651,1911,4
"AL1G18780",1107,2428,8
"AL1G18790",375,954,2
"AL1G18800",411,1070,3
"AL1G18810",2418,2803,4
"AL1G18820",1752,3142,7
"AL1G18830",3147,7301,22
"AL1G18840",1461,2541,6
"AL1G18850",1507,2397,6
"AL1G18860",1272,4136,14
"AL1G18880",1182,2151,3
"AL1G18890",555,4303,6
"AL1G18900",1172,2033,4
"AL1G18910",429,1331,3
"AL1G18920",1401,2996,9
"AL1G18930",678,1048,2
"AL1G18940",1236,3226,5
"AL1G18950",2271,4802,15
"AL1G18960",786,1828,5
"AL1G18970",1719,3433,7
"AL1G18980",1368,2411,5
"AL1G18990",933,1226,1
"AL1G19000",840,1928,4
"AL1G19010",372,1373,4
"AL1G19020",3093,3398,1
"AL1G19030",4452,9640,25
"AL1G19040",1695,2027,1
"AL1G19050",3627,7237,11
"AL1G19060",1077,4336,8
"AL1G19070",891,2924,10
"AL1G19090",855,1536,2
"AL1G19100",1425,3106,11
"AL1G19120",242,427,2
"AL1G19130",1761,6222,11
"AL1G19140",1383,2526,2
"AL1G19150",816,1887,5
"AL1G19160",2808,5381,13
"AL1G19170",4593,8945,38
"AL1G19180",1149,3666,10
"AL1G19190",2256,3373,4
"AL1G19200",633,812,1
"AL1G19210",390,1544,3
"AL1G19220",573,914,2
"AL1G19230",3378,4793,2
"AL1G19240",840,1275,3
"AL1G19250",984,4134,5
"AL1G19260",396,2316,5
"AL1G19270",3993,9555,34
"AL1G19280",570,1875,2
"AL1G19290",1749,4737,16
"AL1G19310",429,814,2
"AL1G19320",1398,4276,18
"AL1G19330",1385,3279,18
"AL1G19340",2583,8175,17
"AL1G19350",1413,3261,17
"AL1G19360",1491,3625,17
"AL1G19370",846,1590,2
"AL1G19390",1638,2678,2
"AL1G19400",696,1679,1
"AL1G19410",1278,2518,9
"AL1G19420",1584,2250,3
"AL1G19430",2001,4357,17
"AL1G19440",2835,4364,11
"AL1G19450",1440,4791,13
"AL1G19460",162,203,1
"AL1G19470",420,593,1
"AL1G19480",2781,4262,2
"AL1G19490",2781,3996,2
"AL1G19500",2750,4814,14
"AL1G19510",972,1252,1
"AL1G19520",1405,1753,3
"AL1G19530",538,1045,3
"AL1G19540",2334,3818,12
"AL1G19550",976,2814,10
"AL1G19570",999,2810,9
"AL1G19580",780,3474,11
