"gene_id","seqnames","start","end","gene_length","cds_count"
"AL1G12110","scaffold_1",769909,773983,4075,3
"AL1G12120","scaffold_1",774609,777245,2637,10
"AL1G12130","scaffold_1",777540,779351,1812,4
"AL1G12150","scaffold_1",781045,782632,1588,3
"AL1G12160","scaffold_1",783571,785405,1835,4
"AL1G12170","scaffold_1",786504,789482,2979,8
"AL1G12180","scaffold_1",793500,795802,2303,3
"AL1G12190","scaffold_1",795943,796587,645,1
"AL1G12200","scaffold_1",797444,798303,860,1
"AL1G12210","scaffold_1",799616,800294,679,2
"AL1G12220","scaffold_1",800793,801455,663,2
"AL1G12230","scaffold_1",804300,807460,3161,3
"AL1G12240","scaffold_1",807555,810912,3358,11
"AL1G12260","scaffold_1",811361,813978,2618,13
"AL1G12270","scaffold_1",815884,817978,2095,6
"AL1G12280","scaffold_1",817982,819226,1245,3
"AL1G12290","scaffold_1",819422,821321,1900,6
"AL1G12300","scaffold_1",822494,824269,1776,6
"AL1G12310","scaffold_1",824514,824869,356,1
"AL1G12320","scaffold_1",825055,827940,2886,1
"AL1G12330","scaffold_1",828020,834955,6936,27
"AL1G12340","scaffold_1",836607,837236,630,1
"AL1G12350","scaffold_1",838460,841182,2723,8
"AL1G12360","scaffold_1",841651,842788,1138,3
"AL1G12370","scaffold_1",844288,845382,1095,3
"AL1G12380","scaffold_1",846974,847614,641,2
"AL1G12390","scaffold_1",850480,851795,1316,4
"AL1G12400","scaffold_1",852258,855343,3086,14
"AL1G12410","scaffold_1",860160,863201,3042,9
"AL1G12430","scaffold_1",864016,868442,4427,17
"AL1G12440","scaffold_1",868449,874325,5877,9
"AL1G12450","scaffold_1",875309,880058,4750,13
"AL1G12460","scaffold_1",880679,883879,3201,5
"AL1G12470","scaffold_1",884673,885268,596,1
"AL1G12480","scaffold_1",889013,891611,2599,9
"AL1G12490","scaffold_1",891716,894462,2747,6
"AL1G12500","scaffold_1",895327,897917,2591,4
"AL1G12510","scaffold_1",897928,899677,1750,7
"AL1G12520","scaffold_1",900444,915157,14714,20
"AL1G12530","scaffold_1",927252,928794,1543,4
"AL1G12540","scaffold_1",928819,935345,6527,3
"AL1G12550","scaffold_1",938343,942998,4656,16
"AL1G12560","scaffold_1",943011,945566,2556,1
"AL1G12570","scaffold_1",947251,948149,899,3
"AL1G12580","scaffold_1",948333,951072,2740,10
"AL1G12590","scaffold_1",953127,954241,1115,2
"AL1G12600","scaffold_1",954275,955233,959,1
"AL1G12610","scaffold_1",955288,957199,1912,2
"AL1G12620","scaffold_1",957314,959653,2340,6
"AL1G12630","scaffold_1",959909,960497,589,0
"AL1G12640","scaffold_1",962059,962823,765,1
"AL1G12650","scaffold_1",964320,971233,6914,11
"AL1G12660","scaffold_1",972875,973886,1012,1
"AL1G12670","scaffold_1",978431,980251,1821,7
"AL1G12680","scaffold_1",980521,985884,5364,12
"AL1G12690","scaffold_1",986579,991964,5386,3
"AL1G12700","scaffold_1",992140,992978,839,3
"AL1G12710","scaffold_1",993511,995052,1542,4
"AL1G12720","scaffold_1",996062,996875,814,1
"AL1G12730","scaffold_1",997692,999211,1520,1
"AL1G12740","scaffold_1",1001508,1003429,1922,7
"AL1G12750","scaffold_1",1003478,1006296,2819,9
"AL2G35450","scaffold_1",1006600,1007891,1292,2
"AL1G12760","scaffold_1",1009130,1012590,3461,13
"AL1G12780","scaffold_1",1013096,1017327,4232,10
"AL1G12800","scaffold_1",1017676,1021314,3639,8
"AL1G12810","scaffold_1",1021372,1023695,2324,1
"AL1G12820","scaffold_1",1024025,1027143,3119,1
"AL1G12830","scaffold_1",1027335,1028444,1110,2
"AL1G12840","scaffold_1",1028447,1029850,1404,3
"AL1G12850","scaffold_1",1030105,1031848,1744,5
"AL1G12860","scaffold_1",1031915,1034521,2607,12
"AL1G12870","scaffold_1",1034791,1036524,1734,1
"AL1G12880","scaffold_1",1036678,1038446,1769,7
"AL1G12890","scaffold_1",1038648,1042194,3547,2
"AL1G12900","scaffold_1",1042615,1047362,4748,8
"AL1G12910","scaffold_1",1047774,1053058,5285,8
"AL1G12920","scaffold_1",1053188,1054703,1516,1
"AL1G12930","scaffold_1",1055152,1056761,1610,6
"AL1G12940","scaffold_1",1059499,1061199,1701,1
"AL1G12950","scaffold_1",1062429,1067746,5318,22
"AL1G12960","scaffold_1",1070242,1073824,3583,9
"AL1G12970","scaffold_1",1075344,1077080,1737,2
"AL1G12980","scaffold_1",1078640,1080873,2234,8
"AL1G13550","scaffold_1",1082291,1083638,1348,2
"AL1G13000","scaffold_1",1083775,1085490,1716,2
"AL1G13010","scaffold_1",1086803,1088141,1339,1
"AL1G13030","scaffold_1",1088514,1090835,2322,4
"AL1G13040","scaffold_1",1091203,1094171,2969,3
"AL1G13050","scaffold_1",1094506,1096557,2052,1
"AL1G13060","scaffold_1",1096560,1098884,2325,12
"AL1G13070","scaffold_1",1100967,1103978,3012,2
"AL1G13090","scaffold_1",1104121,1107511,3391,5
"AL1G13100","scaffold_1",1108879,1109735,857,1
"AL1G13110","scaffold_1",1111006,1113234,2229,5
"AL1G13120","scaffold_1",1114889,1117363,2475,9
"AL1G13130","scaffold_1",1118485,1120243,1759,5
"AL1G13150","scaffold_1",1120805,1121853,1049,2
"AL1G13160","scaffold_1",1134991,1136447,1457,1
"AL1G13170","scaffold_1",1136871,1138050,1180,1
"AL1G13180","scaffold_1",1138500,1140968,2469,8
"AL1G13190","scaffold_1",1141345,1142600,1256,3
"AL1G13200","scaffold_1",1143005,1143849,845,3
"AL1G13230","scaffold_1",1145609,1146644,1036,2
"AL1G13240","scaffold_1",1151365,1152489,1125,2
"AL1G13250","scaffold_1",1157365,1158656,1292,2
"AL1G13260","scaffold_1",1158846,1160094,1249,4
"AL1G13270","scaffold_1",1171668,1172533,866,1
"AL1G13280","scaffold_1",1174383,1177921,3539,7
"AL1G13290","scaffold_1",1177998,1178271,274,1
"AL1G13300","scaffold_1",1178619,1181898,3280,7
"AL1G13310","scaffold_1",1181909,1184251,2343,10
"AL1G13320","scaffold_1",1185876,1189026,3151,10
"AL1G13330","scaffold_1",1189034,1193367,4334,18
"AL1G13350","scaffold_1",1202701,1204296,1596,1
"AL1G13360","scaffold_1",1205523,1206301,779,1
"AL1G13370","scaffold_1",1211668,1212709,1042,2
"AL1G13380","scaffold_1",1212725,1213574,850,1
"AL1G13390","scaffold_1",1214969,1219915,4947,13
"AL1G13400","scaffold_1",1222380,1224933,2554,3
"AL1G13410","scaffold_1",1232203,1232945,743,4
"AL1G13430","scaffold_1",1241660,1242351,692,1
"AL1G13440","scaffold_1",1244816,1247123,2308,5
"AL1G13450","scaffold_1",1247806,1248699,894,1
"AL1G13460","scaffold_1",1252131,1254601,2471,4
"AL1G13470","scaffold_1",1255788,1257789,2002,4
"AL1G13480","scaffold_1",1257984,1259991,2008,3
"AL1G13490","scaffold_1",1260373,1262887,2515,6
"AL2G11480","scaffold_1",1266604,1267085,482,1
"AL5G28770","scaffold_1",1271122,1271327,206,0
"AL1G13500","scaffold_1",1271711,1272217,507,3
"AL1G13510","scaffold_1",1272593,1276815,4223,12
"AL1G13520","scaffold_1",1277963,1280763,2801,12
"AL1G13530","scaffold_1",1282941,1284614,1674,9
"AL1G13540","scaffold_1",1286152,1287812,1661,2
"AL1G12990","scaffold_1",1288399,1289669,1271,1
"AL1G13560","scaffold_1",1290214,1292583,2370,11
"AL1G13570","scaffold_1",1294437,1298699,4263,12
"AL1G13580","scaffold_1",1300367,1301508,1142,1
"AL1G13592","scaffold_1",1301544,1304339,2796,9
"AL1G13594","scaffold_1",1306429,1307232,804,4
"AL1G13600","scaffold_1",1308515,1311850,3336,3
"AL1G13610","scaffold_1",1311943,1313187,1245,1
"AL1G13620","scaffold_1",1315143,1320174,5032,14
"AL1G13630","scaffold_1",1320466,1324117,3652,13
"AL1G13640","scaffold_1",1324365,1326249,1885,4
"AL1G13650","scaffold_1",1326262,1327722,1461,3
"AL1G13660","scaffold_1",1329458,1333413,3956,11
"AL1G13670","scaffold_1",1334282,1334861,580,1
"AL1G13680","scaffold_1",1334991,1340455,5465,12
"AL1G13690","scaffold_1",1340781,1343261,2481,2
"AL1G13700","scaffold_1",1343307,1344852,1546,4
"AL1G13710","scaffold_1",1344983,1348034,3052,1
"AL1G13720","scaffold_1",1348196,1354546,6351,11
"AL1G13730","scaffold_1",1357076,1359199,2124,8
"AL1G13740","scaffold_1",1359885,1364889,5005,14
"AL1G13750","scaffold_1",1367001,1368887,1887,1
"AL1G13760","scaffold_1",1371718,1382284,10567,39
"AL1G13770","scaffold_1",1382338,1385400,3063,8
"AL1G13780","scaffold_1",1394494,1396057,1564,2
"AL1G13790","scaffold_1",1396456,1398648,2193,8
"AL1G13800","scaffold_1",1399752,1404425,4674,18
"AL1G13810","scaffold_1",1404826,1410253,5428,11
"AL1G13820","scaffold_1",1410381,1413406,3026,2
"AL1G13830","scaffold_1",1416923,1419564,2642,8
"AL1G13840","scaffold_1",1419584,1420847,1264,3
"AL1G13850","scaffold_1",1428086,1430542,2457,4
"AL1G13860","scaffold_1",1432645,1433643,999,1
"AL1G13870","scaffold_1",1433963,1435358,1396,4
"AL1G13880","scaffold_1",1435706,1438997,3292,8
"AL1G13890","scaffold_1",1443823,1444639,817,3
"AL1G13900","scaffold_1",1444938,1451064,6127,12
"AL1G13910","scaffold_1",1451346,1454165,2820,2
"AL1G13930","scaffold_1",1456954,1458407,1454,1
"AL1G13940","scaffold_1",1459725,1461647,1923,5
"AL1G13950","scaffold_1",1461971,1462919,949,2
"AL1G13960","scaffold_1",1468899,1470338,1440,1
"AL1G13970","scaffold_1",1478967,1479606,640,1
"AL1G13980","scaffold_1",1481481,1483214,1734,3
"AL1G13990","scaffold_1",1483449,1483841,393,1
"AL1G14000","scaffold_1",1483996,1488053,4058,8
"AL1G14010","scaffold_1",1490933,1493835,2903,4
"AL1G14020","scaffold_1",1496257,1498836,2580,7
"AL1G14030","scaffold_1",1499112,1501755,2644,6
"AL1G14040","scaffold_1",1504281,1504453,173,1
"AL1G14050","scaffold_1",1504628,1504770,143,0
"AL1G14070","scaffold_1",1507721,1511077,3357,7
"AL1G14080","scaffold_1",1511862,1515556,3695,14
"AL1G14090","scaffold_1",1517010,1517797,788,2
"AL1G14100","scaffold_1",1518485,1519541,1057,3
"AL1G14110","scaffold_1",1519658,1523198,3541,2
"AL1G14120","scaffold_1",1523878,1527627,3750,6
"AL1G14130","scaffold_1",1529993,1531749,1757,3
"AL1G14140","scaffold_1",1533956,1536229,2274,2
"AL4G32050","scaffold_1",1537572,1537936,365,2
"AL5G18510","scaffold_1",1538324,1538537,214,2
"AL1G14150","scaffold_1",1539140,1542043,2904,5
"AL1G14160","scaffold_1",1543917,1548523,4607,18
"AL1G14170","scaffold_1",1549276,1551719,2444,4
"AL1G14180","scaffold_1",1551996,1553756,1761,5
"AL1G14190","scaffold_1",1554898,1556883,1986,1
"AL1G14200","scaffold_1",1557338,1561176,3839,12
"AL1G14210","scaffold_1",1562082,1563782,1701,6
"AL1G14220","scaffold_1",1581382,1583112,1731,5
"AL1G14230","scaffold_1",1583512,1584895,1384,4
"AL1G14240","scaffold_1",1590737,1591767,1031,3
"AL1G14250","scaffold_1",1592407,1594559,2153,2
"AL1G14260","scaffold_1",1602663,1609795,7133,11
"AL1G14270","scaffold_1",1610069,1613030,2962,9
"AL1G14280","scaffold_1",1613215,1623911,10697,42
"AL1G14290","scaffold_1",1631286,1633399,2114,3
"AL1G14300","scaffold_1",1634183,1638565,4383,19
"AL1G14310","scaffold_1",1638648,1640198,1551,3
"AL1G14320","scaffold_1",1640381,1641086,706,1
"AL1G14330","scaffold_1",1641793,1643223,1431,1
"AL1G14340","scaffold_1",1644600,1644909,310,1
"AL1G14350","scaffold_1",1645417,1645821,405,1
"AL1G14360","scaffold_1",1646455,1650750,4296,7
"AL1G14370","scaffold_1",1652239,1653185,947,1
"AL1G14380","scaffold_1",1653655,1654402,748,3
"AL325U10020","scaffold_1",1655581,1656520,940,3
"AL1G14390","scaffold_1",1659656,1664669,5014,6
"AL1G14400","scaffold_1",1671034,1673238,2205,5
"AL1G14410","scaffold_1",1673843,1678458,4616,8
"AL1G14420","scaffold_1",1679048,1681870,2823,1
"AL1G14430","scaffold_1",1682025,1684939,2915,14
"AL1G14450","scaffold_1",1685262,1691485,6224,22
"AL1G14460","scaffold_1",1691970,1693883,1914,5
"AL1G14470","scaffold_1",1694866,1696650,1785,5
"AL1G14480","scaffold_1",1696671,1698139,1469,4
"AL1G14490","scaffold_1",1699960,1700690,731,2
"AL1G14500","scaffold_1",1700837,1703807,2971,2
"AL1G14510","scaffold_1",1705316,1708774,3459,8
"AL1G14520","scaffold_1",1708785,1709637,853,1
"AL1G14530","scaffold_1",1711140,1716583,5444,13
"AL1G14540","scaffold_1",1717003,1717335,333,1
"AL1G14550","scaffold_1",1718137,1721237,3101,9
"AL1G14560","scaffold_1",1721774,1724263,2490,2
"AL1G14570","scaffold_1",1724397,1728013,3617,12
"AL1G14580","scaffold_1",1728176,1731992,3817,2
"AL1G14590","scaffold_1",1732229,1734792,2564,7
"AL1G14600","scaffold_1",1735004,1738467,3464,6
"AL612U10010","scaffold_1",1740890,1740964,75,0
"AL1G14610","scaffold_1",1741656,1743803,2148,3
"AL1G14620","scaffold_1",1744458,1748428,3971,13
"AL1G14630","scaffold_1",1748442,1751729,3288,9
"AL1G14640","scaffold_1",1752152,1756847,4696,11
"AL1G14650","scaffold_1",1757077,1759641,2565,7
"AL1G14660","scaffold_1",1759833,1761451,1619,2
"AL1G14670","scaffold_1",1761623,1763767,2145,5
"AL1G14680","scaffold_1",1763898,1768226,4329,11
"AL1G14690","scaffold_1",1768530,1771439,2910,11
"AL1G14700","scaffold_1",1775539,1778182,2644,6
"AL1G14710","scaffold_1",1778206,1780720,2515,9
"AL1G14720","scaffold_1",1782708,1784834,2127,5
"AL1G14730","scaffold_1",1785061,1787671,2611,7
"AL1G14740","scaffold_1",1790423,1794714,4292,5
"AL1G14750","scaffold_1",1794976,1796417,1442,2
"AL1G14760","scaffold_1",1796837,1798416,1580,4
"AL1G14770","scaffold_1",1801716,1803895,2180,1
"AL1G14780","scaffold_1",1804702,1808106,3405,12
"AL1G14790","scaffold_1",1811211,1812254,1044,3
"AL1G14800","scaffold_1",1812305,1814577,2273,4
"AL1G14810","scaffold_1",1814701,1816504,1804,5
"AL1G14820","scaffold_1",1816670,1819069,2400,2
"AL1G14830","scaffold_1",1820729,1822414,1686,3
"AL1G14840","scaffold_1",1822691,1825689,2999,5
"AL1G14850","scaffold_1",1825996,1828545,2550,7
"AL1G14860","scaffold_1",1830419,1833066,2648,3
"AL4G19794","scaffold_1",1836332,1836674,343,2
"AL1G14870","scaffold_1",1841180,1842450,1271,1
"AL1G14880","scaffold_1",1842970,1847687,4718,16
"AL6G41230","scaffold_1",1850814,1851699,886,2
"AL1G14890","scaffold_1",1855841,1856437,597,2
"AL1G14900","scaffold_1",1858299,1859798,1500,1
"AL1G14910","scaffold_1",1859818,1862578,2761,1
"AL1G14920","scaffold_1",1862979,1866404,3426,8
"AL1G14930","scaffold_1",1866454,1869736,3283,11
"AL1G14940","scaffold_1",1874465,1878167,3703,14
"AL1G14950","scaffold_1",1878391,1879765,1375,3
"AL1G14960","scaffold_1",1881814,1885649,3836,6
"AL1G14970","scaffold_1",1885653,1886704,1052,3
"AL1G14990","scaffold_1",1886913,1887201,289,1
"AL1G15000","scaffold_1",1887246,1893366,6121,10
"AL1G15020","scaffold_1",1899685,1900994,1310,4
"AL1G15010","scaffold_1",1903702,1905010,1309,4
"AL1G15030","scaffold_1",1908748,1910345,1598,4
"AL1G15040","scaffold_1",1913968,1915571,1604,4
"AL1G15050","scaffold_1",1915790,1918507,2718,9
"AL1G15060","scaffold_1",1919767,1921717,1951,4
"AL1G15070","scaffold_1",1923321,1924743,1423,4
"AL1G15080","scaffold_1",1925467,1926424,958,3
"AL1G15090","scaffold_1",1927490,1928459,970,2
"AL1G15100","scaffold_1",1928973,1931762,2790,3
"AL1G15110","scaffold_1",1934749,1936716,1968,5
"AL1G15120","scaffold_1",1943215,1948389,5175,7
"AL1G15130","scaffold_1",1948666,1949321,656,1
"AL1G15140","scaffold_1",1949343,1950070,728,3
"AL1G15150","scaffold_1",1950863,1954197,3335,14
"AL1G15160","scaffold_1",1954749,1956697,1949,3
"AL1G15170","scaffold_1",1956895,1958452,1558,1
"AL1G15180","scaffold_1",1958064,1960843,2780,8
"AL1G15190","scaffold_1",1962852,1966004,3153,7
"AL1G15210","scaffold_1",1971169,1976981,5813,8
"AL1G15220","scaffold_1",1977084,1978010,927,3
"AL1G15240","scaffold_1",1978433,1979664,1232,3
"AL1G15250","scaffold_1",1984413,1985429,1017,1
"AL1G15260","scaffold_1",1987570,1990080,2511,4
"AL1G15270","scaffold_1",1991847,1993744,1898,6
"AL1G15280","scaffold_1",1993932,1995571,1640,3
"AL4G39840","scaffold_1",1996453,1997589,1137,1
"AL1G15290","scaffold_1",1998786,2000078,1293,5
"AL1G15300","scaffold_1",2000081,2003999,3919,4
"AL1G15310","scaffold_1",2006230,2007809,1580,4
"AL1G15320","scaffold_1",2011778,2016154,4377,10
"AL1G15330","scaffold_1",2024367,2029167,4801,3
"AL1G15340","scaffold_1",2030880,2035029,4150,13
"AL1G15350","scaffold_1",2035245,2036559,1315,3
"AL1G15360","scaffold_1",2036725,2041638,4914,12
